Num;Sentence
1;The.accident.damaged.the.yellow.car.
2;The.accident.destroyed.the.empty.lab.
3;The.activist.dropped.the.new.cellphone.
4;The.activist.listened.to.the.tired.victim.
5;The.activist.marched.at.the.trial.
6;The.actor.gave.the.football.to.the.team.
7;The.aggressive.team.took.the.baseball.
8;The.angry.activist.broke.the.chair.
9;The.angry.child.threw.the.book.
10;The.angry.lawyer.left.the.office.
11;The.army.built.the.small.hospital.
12;The.army.marched.past.the.school.
13;The.artist.drew.the.river.
14;The.artist.found.the.red.ball.
15;The.artist.hiked.along.the.mountain.
16;The.artist.kicked.the.football.
17;The.artist.liked.chicken.
18;The.artist.shouted.in.the.hotel.
19;The.author.interviewed.the.scientist.after.the.flood.
20;The.author.kicked.the.desk.
21;The.banker.bought.the.expensive.boat.
22;The.banker.drank.cold.water.
23;The.banker.was.injured.in.the.accident.
24;The.banker.watched.the.peaceful.protest.
25;The.baseball.broke.the.window.
26;The.baseball.was.in.the.office.
27;The.beach.was.empty.
28;The.bicycle.blocked.the.green.door.
29;The.big.horse.drank.from.the.lake.
30;The.bird.landed.on.the.bridge.
31;The.bird.was.red.
32;The.boat.crossed.the.small.lake.
33;The.boy.held.the.football.
34;The.boy.kicked.the.stone.along.the.street.
35;The.boy.threw.the.baseball.over.the.fence.
36;The.bridge.survived.the.flood.
37;The.businessman.laughed.in.the.theater.
38;The.businessman.lost.the.computer.at.the.airport.
39;The.businessman.slept.on.the.expensive.bed.
40;The.businessman.watched.soccer.
41;The.car.approached.the.river.
42;The.cellphone.was.black.
43;The.chicken.was.expensive.at.the.restaurant.
44;The.child.broke.the.glass.in.the.restaurant.
45;The.child.gave.the.flower.to.the.artist.
46;The.child.held.the.soft.feather.
47;The.clever.scientist.worked.at.the.lab.
48;The.cloud.blocked.the.sun.
49;The.cloud.was.white.
50;The.coffee.was.hot.
51;The.commander.ate.chicken.at.dinner.
52;The.commander.listened.to.the.soldier.
53;The.commander.negotiated.with.the.council.
54;The.commander.opened.the.heavy.door.
55;The.company.delivered.the.computer.
56;The.computer.was.new.
57;The.computer.was.on.the.desk.
58;The.corn.grew.in.spring.
59;The.council.feared.the.protest.
60;The.council.read.the.agreement.
61;The.couple.laughed.at.dinner.
62;The.couple.planned.the.vacation.
63;The.couple.read.on.the.beach.
64;The.criminal.put.the.book.on.the.desk.
65;The.criminal.wanted.cash.
66;The.dangerous.criminal.stole.the.television.
67;The.dime.was.new.
68;The.diplomat.bought.the.aggressive.dog.
69;The.diplomat.negotiated.at.the.embassy.
70;The.diplomat.shouted.at.the.soldier.
71;The.diplomat.was.wealthy.
72;The.doctor.bought.the.used.boat.
73;The.doctor.helped.the.injured.policeman.
74;The.doctor.stole.the.book.
75;The.dog.ate.the.egg.
76;The.dog.broke.the.television.
77;The.dog.drank.water.
78;The.dog.ran.in.the.park.
79;The.door.was.blue.
80;The.driver.wanted.cold.tea.
81;The.duck.flew.
82;The.duck.lived.at.the.lake.
83;The.duck.was.aggressive.
84;The.dusty.feather.landed.on.the.highway.
85;The.editor.carried.the.magazine.to.the.meeting.
86;The.editor.damaged.the.bicycle.
87;The.editor.drank.tea.at.dinner.
88;The.editor.gave.cash.to.the.driver.
89;The.egg.was.blue.
90;The.engineer.built.the.computer.
91;The.engineer.gave.a.book.to.the.student.
92;The.engineer.walked.in.the.peaceful.park.
93;The.expensive.camera.was.in.the.lab.
94;The.family.played.at.the.beach.
95;The.family.survived.the.powerful.hurricane.
96;The.family.was.happy.
97;The.famous.diplomat.left.the.hospital.
98;The.farmer.liked.soccer.
99;The.feather.was.blue.
100;The.fish.lived.in.the.river.
101;The.flood.damaged.the.hospital.
102;The.flood.was.dangerous.
103;The.flower.was.yellow.
104;The.girl.dropped.the.shiny.dime.
105;The.girl.saw.a.horse.in.the.park.
106;The.girl.saw.the.small.bird.
107;The.glass.was.cold.
108;The.green.car.crossed.the.bridge.
109;The.green.duck.slept.under.the.tree.
110;The.guard.opened.the.window.
111;The.guard.slept.near.the.door.
112;The.happy.child.found.the.dime.
113;The.happy.couple.visited.the.embassy.
114;The.happy.girl.played.in.the.forest.
115;The.horse.kicked.the.fence.
116;The.horse.walked.through.the.green.field.
117;The.hurricane.damaged.the.boat.
118;The.injured.horse.slept.at.night.
119;The.journalist.interviewed.the.judge.
120;The.judge.lost.the.dime.
121;The.judge.met.the.mayor.
122;The.judge.stayed.at.the.hotel.during.the.vacation.
123;The.jury.listened.to.the.famous.businessman.
124;The.jury.watched.the.witness.
125;The.lawyer.drank.coffee.
126;The.lawyer.was.friendly.
127;The.lonely.patient.listened.to.the.loud.television.
128;The.magazine.was.in.the.car.
129;The.magazine.was.yellow.
130;The.man.lost.the.ticket.to.soccer.
131;The.man.read.the.newspaper.in.church.
132;The.man.saw.the.dead.mouse.
133;The.man.saw.the.fish.in.the.river.
134;The.mayor.dropped.the.glass.
135;The.mayor.listened.to.the.voter.
136;The.mayor.negotiated.with.the.mob.
137;The.medicine.was.on.the.table.
138;The.minister.found.cash.at.the.airport.
139;The.minister.lost.the.spiritual.magazine.
140;The.minister.spoke.to.the.injured.patient.
141;The.minister.visited.the.prison.
142;The.mob.approached.the.embassy.
143;The.mob.damaged.the.hotel.
144;The.mob.was.dangerous.
145;The.mouse.ran.into.the.forest.
146;The.old.doctor.walked.through.the.hospital.
147;The.old.farmer.ate.at.the.expensive.hotel.
148;The.old.judge.saw.the.dark.cloud.
149;The.old.man.threw.the.stone.into.the.lake.
150;The.parent.bought.the.magazine.
151;The.parent.shouted.at.the.child.
152;The.parent.took.the.cellphone.
153;The.parent.visited.the.school.
154;The.parent.watched.the.sick.child.
155;The.park.was.empty.in.winter.
156;The.patient.put.the.medicine.in.the.cabinet.
157;The.patient.survived.
158;The.pilot.was.friendly.
159;The.policeman.arrested.the.angry.driver.
160;The.policeman.interviewed.the.young.victim.
161;The.policeman.read.the.newspaper.
162;The.politician.celebrated.at.the.hotel.
163;The.politician.visited.the.family.
164;The.politician.watched.the.trial.
165;The.priest.approached.the.lonely.family.
166;The.protest.was.loud.
167;The.red.pencil.was.on.the.desk.
168;The.red.plane.flew.through.the.cloud.
169;The.reporter.ate.at.the.new.restaurant.
170;The.reporter.interviewed.the.dangerous.terrorist.
171;The.reporter.interviewed.the.politician.during.the.debate.
172;The.reporter.met.the.angry.doctor.
173;The.reporter.spoke.to.the.loud.mob.
174;The.reporter.wrote.about.the.trial.
175;The.restaurant.was.loud.at.night.
176;The.school.was.empty.during.the.summer.
177;The.school.was.famous.
178;The.scientist.spoke.to.the.student.
179;The.scientist.watched.the.duck.
180;The.small.boy.feared.the.storm.
181;The.small.church.was.near.the.school.
182;The.soldier.arrested.the.injured.activist.
183;The.soldier.crossed.the.field.
184;The.soldier.delivered.the.medicine.during.the.flood.
185;The.soldier.kicked.the.door.
186;The.storm.destroyed.the.theater.
187;The.storm.ended.during.the.morning.
188;The.storm.was.powerful.
189;The.street.was.dark.
190;The.street.was.empty.at.night.
191;The.student.planned.the.protest.
192;The.student.walked.along.the.long.hall.
193;The.summer.was.hot.
194;The.teacher.broke.the.small.camera.
195;The.teacher.used.the.computer.
196;The.teacher.visited.the.beach.in.summer.
197;The.teacher.worked.at.the.new.school.
198;The.team.celebrated.
199;The.team.lost.the.football.in.the.forest.
200;The.team.played.soccer.in.spring.
201;The.terrorist.stole.the.car.
202;The.ticket.was.on.the.red.desk.
203;The.tired.jury.left.the.court.
204;The.tired.lawyer.visited.the.island.
205;The.tired.patient.slept.in.the.dark.hospital.
206;The.tourist.ate.bread.on.vacation.
207;The.tourist.found.a.bird.in.the.theater.
208;The.tourist.hiked.through.the.forest.
209;The.tourist.was.friendly.
210;The.tourist.went.to.the.restaurant.
211;The.tree.grew.in.the.park.
212;The.tree.was.green.
213;The.trial.ended.in.spring.
214;The.used.book.was.on.the.table.
215;The.vacation.was.peaceful.
216;The.victim.feared.the.criminal.
217;The.voter.read.about.the.election.
218;The.voter.went.to.the.protest.
219;The.wealthy.author.walked.into.the.office.
220;The.wealthy.couple.left.the.theater.
221;The.wealthy.family.celebrated.at.the.party.
222;The.wealthy.farmer.fed.the.horse.
223;The.wealthy.politician.liked.coffee.
224;The.white.feather.was.under.the.tree.
225;The.window.was.dusty.
226;The.witness.shouted.during.the.trial.
227;The.witness.spoke.to.the.lawyer.
228;The.witness.went.to.the.trial.
229;The.woman.bought.medicine.at.the.store.
230;The.woman.helped.the.sick.tourist.
231;The.woman.left.the.restaurant.after.the.storm.
232;The.woman.took.the.flower.from.the.field.
233;The.worker.fixed.the.door.at.the.church.
234;The.yellow.bird.flew.over.the.field.
235;The.yellow.dog.approached.the.friendly.teacher.
236;The.young.author.spoke.to.the.editor.
237;The.young.engineer.worked.in.the.office.
238;The.young.girl.played.soccer.
239;The.young.policeman.walked.to.the.theater.
240;The.young.student.read.at.the.desk.
